Student ID,Profile,HexString,Ethernet MAC,AP Name
65212262,MFUconnect,f01d.2db6.47d4,00b6.7064.5c98,AS-FL2-RE203
6731601099,MFUconnect,f01d.2db6.41f4,00b6.7094.0160,Mushroom2
6731006300,MFUconnect,f01d.2db6.9fd4,488b.0a87.7b20,L2-FL4-AP0952
6731203056,MFUconnect,f01d.2db6.65e0,548a.bafc.2568,AS-FL3-MIS
6731701019,MFUconnect_Wi-Fi6,f01d.2db6.3a50,548a.bafc.5cc8,S6-2-FL1-AP2018
,IOT,f01d.2db6.43c8,70f3.5a54.2d18,Mushroom1
,MFUconnect,f01d.2db6.4720,f01d.2db6.bfd4,L3-FL3-AP0983
67219033,MFUconnect,f01d.2d6d.eb64,f01d.2db6.c028,L7-FL1-AP1173
6231006045,MFUconnect,f01d.2db6.37b8,f01d.2db6.c068,C5-FL3-AP0400
6271105009,MFUconnect,f01d.2db6.3f8c,f01d.2db6.c0e0,L3-FL1-AP0958
6531207006,MFUconnect,f01d.2db6.37a8,f01d.2db6.c0f8,L7-FL2-AP1176
6731306091,MFUconnect,f01d.2db6.69a0,f01d.2db6.c190,L5-FL2-AP1071
6732501037,MFUconnect,f01d.2db6.568c,f01d.2db6.c1d8,L4-FL1-AP1006
6631210101,MFUconnect,f01d.2db6.ab0c,f01d.2db6.c23c,L6-FL1-AP1114
66218059,MFUconnect,f01d.2db6.7424,f01d.2db6.c244,L3-FL3-AP0982
6732501058,MFUconnect_Wi-Fi6,f01d.2db6.56b4,f01d.2db6.c25c,L8-FL7-AP1280
6731006229,MFUconnect,f01d.2db6.3ccc,f01d.2db6.c260,E4A-FL6-AP0260
6732502035,MFUconnect,f01d.2db6.5e90,f01d.2db6.c2a4,L3-FL3-AP0989
,MFUconnect,f01d.2db6.3fa8,f01d.2db6.c2b0,L3-FL2-AP0967
6731407133,MFUconnect,f01d.2db6.9bac,f01d.2db6.c300,Sak3-FL2-AP1575
6531601205,MFUconnect,f01d.2db6.41c0,f01d.2db6.c310,C1-FL3-AP0325
6732404093,MFUconnect_Wi-Fi6,f01d.2db6.7c44,f01d.2db6.c318,L6-FL4-AP1158
57213009,MFUconnect,f01d.2db6.7eb8,f01d.2db6.c32c,L2-FL4-AP0947
,MFUconnect_Wi-Fi6,f01d.2db6.a1c0,f01d.2db6.c360,M3-FL4-AP0452
6731806013,MFUconnect,f01d.2db6.65e0,f01d.2db6.c3a0,EP-FL2-AP1840
6731601536,MFUconnect,f01d.2db6.9840,f01d.2db6.c3c8,A1-1-FL2-AP1608
6731301088,MFUconnect,f01d.2db6.2b6c,f01d.2db6.c3dc,S3-FL2-AP0530
6631501053,MFUconnect,f01d.2d6d.a224,f01d.2db6.c3e4,L7-FL1-AP1171
6631210018,MFUconnect,f01d.2db6.9a1c,f01d.2db6.c3f4,L3-FL4-AP1001
6731006120,MFUconnect,f01d.2db6.5454,f01d.2db6.c4f4,BS-FL1-AP1379
48217153,MFUconnect,f01d.2db6.7d54,f01d.2db6.c514,L3-FL2-AP0966
64340113,MFUconnect,f01d.2db6.6bc0,f01d.2db6.c51c,Sak3-FL4-AP1295
6731601535,MFUconnect,f01d.2db6.875c,f01d.2db6.c538,L6-FL1-AP1117
6732404004,MFUconnect,f01d.2db6.81f0,f01d.2db6.c59c,L3-FL4-AP1004
,MFUconnect,f01d.2db6.4a48,f01d.2db6.c5ac,EP-FL3-AP1844
6431806051,MFUconnect,f01d.2db6.34fc,f01d.2db6.c5d0,L3-FL4-AP1003
6731006182,MFUconnect_Wi-Fi6,f01d.2db6.9344,f01d.2db6.c5e8,L4-FL3-AP1043
6631806011,MFUconnect,f01d.2db6.981c,f01d.2db6.c5f8,L4-FL1-AP1012
6732402207,MFUconnect_Wi-Fi6,f01d.2db6.9d28,f01d.2db6.c6f8,L5-FL4-AP1107
6631207038,MFUconnect,f01d.2db6.4f0c,f01d.2db6.c718,L5-FL2-AP1073
6731210056,MFUconnect,f01d.2db6.55cc,f01d.2db6.c768,M3-FL2-AP0429
6731203041,MFUconnect,f01d.2db6.8a7c,f01d.2db6.c804,L3-FL3-AP0980
6731901082,MFUconnect_Wi-Fi6,f01d.2db6.4324,f01d.2db6.c8c8,L5-FL4-AP1105
6731202043,MFUconnect,f01d.2db6.4e40,f01d.2db7.38d0,Pao-FL1-AP1411
